PM25h,HUM,TEMP,CO,CO2,PM10p,NO,NO2,PM10h,PM25p
14,74.6,13.6,0.8,417,20,0.002,0.024,34,8
12,76,13.3,0.8,415,19,0.004,0.029,45,2
14,76,13.3,0.7,414,20,0.002,0.024,47,6
15,75.3,13.3,0.7,411,21,0.001,0.019,46,8
11,74.8,13.3,0.6,409,33,0.002,0.011,49,7
8,74.9,13.2,0.6,410,24,0.002,0.01,53,5
9,75.4,13.2,0.7,411,20,0.002,0.011,52,7
18,75.1,13.3,0.7,412,36,0.001,0.01,56,11
20,75.1,13.3,0.7,412,27,0.002,0.011,50,9
21,75.5,13.3,0.7,416,28,0.002,0.021,52,9
21,75.6,13.2,0.7,415,33,0.002,0.019,46,16
15,76,13.3,0.8,417,25,0.008,0.029,57,15
20,76.3,13.2,0.8,419,32,0.004,0.028,55,11
20,75.6,13.3,0.7,415,35,0.001,0.02,48,17
19,75.4,13.3,0.7,418,34,0.005,0.024,43,15
16,75.4,13.3,0.7,415,43,0.002,0.017,47,17
18,75.7,13.3,0.7,423,39,0.008,0.022,49,22
17,75.9,13.2,0.8,422,49,0.009,0.03,45,20
15,76.2,13.1,0.8,421,45,0.01,0.027,47,23
18,76.7,13,0.8,421,36,0.006,0.027,45,18
14,76.6,12.9,0.8,418,45,0.001,0.02,49,16
18,76.4,13.2,0.8,427,43,0.012,0.03,51,18
15,72.3,13.6,0.8,428,45,0.013,0.032,56,18
21,74.8,13.2,0.8,430,49,0.011,0.034,49,18
20,72.6,13.9,0.8,433,66,0.008,0.031,47,21
12,71.1,13.8,0.8,433,79,0.005,0.028,56,21
6,74.2,13.4,0.9,433,92,0.004,0.027,68,19
5,71.4,13.7,0.9,442,98,0.013,0.034,71,18
13,72.7,13.5,0.8,436,103,0.01,0.031,80,24
17,74.4,13,0.9,428,118,0.007,0.029,93,29
26,70.8,14.3,0.9,446,131,0.02,0.032,95,25
16,65.5,15.3,1,450,133,0.019,0.031,101,36
19,65.1,15.3,0.9,445,136,0.021,0.032,100,35
17,63.8,15.5,0.9,447,145,0.02,0.031,104,37
26,61.6,15.1,0.9,440,153,0.015,0.032,112,41
22,65.9,14.2,0.8,439,163,0.018,0.032,113,36
18,62.3,14.4,0.9,438,140,0.017,0.033,117,33
38,61.8,14.3,0.8,436,129,0.015,0.035,109,35
49,61,14.2,0.8,437,115,0.023,0.038,110,35
53,59.9,14.6,0.8,445,114,0.021,0.037,108,34
51,60.8,14.1,0.8,436,122,0.017,0.035,100,29
48,59.6,14.4,0.9,444,109,0.027,0.04,86,24
40,57.6,14.5,0.8,440,103,0.015,0.037,93,25
43,60.1,13.6,0.7,424,104,0.004,0.029,83,12
45,59.6,14.4,0.8,443,108,0.017,0.035,82,23
42,59.1,14.3,0.8,434,101,0.015,0.037,78,18
39,58.5,14.2,0.7,438,94,0.015,0.037,71,14
39,60.8,14.3,0.9,444,91,0.031,0.04,71,26
47,58.6,15,0.9,458,89,0.049,0.041,69,27
51,56.2,15.4,0.9,464,93,0.032,0.038,89,24
43,57.7,14.1,0.8,435,96,0.012,0.035,88,20
36,58.7,13.9,0.8,446,91,0.009,0.031,92,22
32,58.5,13.2,0.7,429,86,0.002,0.026,89,25
36,59.1,13.3,0.6,434,90,0.007,0.032,95,26
40,58.1,14.1,0.9,473,89,0.033,0.038,84,29
41,57.2,14.1,0.8,452,98,0.027,0.039,90,28
39,54.9,14.4,0.8,463,93,0.026,0.04,91,32
36,56.1,14.2,0.8,451,88,0.028,0.039,90,23
33,53.7,14.6,0.8,466,86,0.031,0.041,91,24
40,55.9,14.2,0.8,461,94,0.016,0.036,93,17
32,53.8,14.9,0.7,469,103,0.028,0.04,95,7
18,53.6,15.1,0.8,466,95,0.023,0.04,84,7
27,51.9,14.9,0.8,457,98,0.018,0.038,87,11
28,54.5,14.7,0.8,468,100,0.027,0.039,80,5
29,53.4,14.1,0.8,446,90,0.021,0.036,82,3
25,54.3,14.6,1,486,82,0.051,0.046,76,6
21,54.4,14.4,0.9,460,91,0.029,0.043,82,4
22,55.2,14.5,0.9,467,88,0.034,0.043,83,6
20,53,15.2,1,481,89,0.043,0.041,88,3
23,52.3,15.3,1,487,96,0.025,0.04,85,9
26,52,15,0.9,472,99,0.013,0.038,80,9
17,50,15.2,1,492,88,0.019,0.041,75,12
20,52.9,14.1,0.9,445,88,0.009,0.035,73,32
30,53.6,14.5,0.9,465,100,0.013,0.038,70,39
32,52.6,15.3,1,480,109,0.027,0.038,67,42
43,50.3,15.6,1,484,108,0.021,0.04,74,46
42,50.5,15.5,1.1,488,111,0.027,0.04,75,45
37,50.3,15.3,1,477,119,0.032,0.042,74,44
38,49.9,15,1,460,108,0.034,0.045,74,45
38,51.1,15.2,1.1,503,101,0.043,0.042,73,44
39,51.4,14.6,1,462,111,0.052,0.048,71,42
32,52.5,15.3,1.1,504,112,0.056,0.042,74,47
38,49.3,15.6,1.1,485,106,0.034,0.04,80,54
45,49.6,15.5,1.1,488,109,0.029,0.04,89,50
40,48.6,14.4,0.9,441,118,0.007,0.035,75,40
22,53.5,14.2,1,461,110,0.012,0.035,55,36
14,49.3,15.4,1,490,91,0.021,0.038,60,32
6,49,15.3,1.2,492,94,0.018,0.039,61,40
7,50.5,14.2,1,435,98,0.015,0.045,56,38
17,51.6,14.7,1,474,100,0.018,0.04,59,38
16,49.9,15.5,1.1,504,97,0.03,0.041,60,37
19,50,15.1,1,458,102,0.014,0.04,58,37
18,50.4,14.9,1.1,470,93,0.02,0.041,57,40
23,52.2,14.6,1.1,462,93,0.029,0.042,55,33
14,50.8,15.1,1.1,486,94,0.014,0.035,51,30
5,50.2,15.1,1.2,473,93,0.013,0.036,41,31
16,50.2,15.1,1.1,459,86,0.006,0.034,56,21
49,50,15.1,1.1,481,92,0.008,0.034,88,23
58,52,14.2,1.1,442,115,0.002,0.027,78,26
54,51.8,14.7,1.2,467,117,0.016,0.036,73,26
58,51,14.4,1,443,117,0.003,0.025,79,21
51,52,14.1,1,445,115,0.007,0.027,80,19
49,53.1,14.5,1.1,484,117,0.005,0.03,74,22
47,51.7,14.3,1,450,120,0.003,0.031,75,24
44,51.6,14.4,1.2,470,124,0.018,0.036,72,13
49,53.7,13.7,1,438,120,0.001,0.026,74,18
52,53.1,14.7,1.2,493,118,0.016,0.035,75,19
58,50.4,15.1,1.1,485,121,0.029,0.039,81,20
52,51.2,14.7,1.1,488,113,0.021,0.036,75,29
37,50.9,14.6,1.2,484,93,0.024,0.04,67,31
37,53.1,14.1,1.2,458,82,0.028,0.043,59,29
38,51.3,14.4,1.3,480,70,0.042,0.041,57,21
30,53.1,13.9,1.1,447,76,0.009,0.032,60,25
39,52.4,14.9,1.2,508,73,0.042,0.042,57,25
45,51,14.6,1.1,462,80,0.015,0.033,54,31
46,53.8,14.7,1.2,492,78,0.034,0.04,57,30
48,51.1,15.6,1.2,522,71,0.051,0.04,65,33
40,49.5,15.7,1.2,505,75,0.033,0.041,58,34
40,53.2,14.6,1.2,481,77,0.031,0.043,67,32
41,52.6,14.7,1.2,479,68,0.029,0.042,62,36
40,53.1,14.3,1.1,455,60,0.013,0.038,59,39
32,54.5,14.2,1.1,467,79,0.014,0.039,51,38
30,52.5,14.9,1.1,506,82,0.025,0.037,60,41
34,51.3,15.3,1.3,521,91,0.041,0.04,64,43
37,52.9,14.6,1,452,84,0.008,0.029,60,45
31,53.2,15.1,1.3,520,84,0.025,0.037,64,48
30,52.8,14.3,1.1,459,80,0.009,0.033,65,38
24,55,14,1.2,479,76,0.025,0.04,68,42
29,55.1,13.9,1.1,459,83,0.012,0.036,60,47
28,54.5,14.3,1.2,484,84,0.024,0.04,66,47
29,55.6,14.5,1.2,490,85,0.053,0.041,60,44
31,54.5,14.6,1.2,462,99,0.023,0.039,61,39
32,54.3,14.9,1.2,504,117,0.04,0.042,69,29
37,53.9,14.7,1.1,491,128,0.025,0.038,74,27
28,53.9,14.6,1.2,495,123,0.036,0.039,68,20
24,54,14.3,1.1,478,128,0.026,0.035,63,20
29,56.3,13.5,1,446,126,0.01,0.031,68,22
30,60.8,12.9,1.1,447,126,0.022,0.035,74,26
24,58.4,14,1.2,501,128,0.044,0.04,78,23
29,59.5,13.7,1.1,468,130,0.023,0.04,72,23
26,60.7,13.8,1.1,486,126,0.021,0.037,66,17
28,63.3,12.8,1.1,442,120,0.011,0.035,65,22
28,65.7,12.7,1,466,120,0.011,0.034,61,33
25,63.2,13.5,1.1,498,115,0.018,0.037,66,25
27,62.9,13.7,1,487,113,0.03,0.04,68,19
22,62.8,13.5,1.1,484,102,0.022,0.037,69,16
26,63,13.9,1.1,514,101,0.022,0.037,68,21
27,63.7,13.8,1.1,480,99,0.027,0.04,68,25
22,61.4,14.5,1.1,507,105,0.028,0.037,65,20
26,63.6,13.5,1.1,471,101,0.028,0.042,59,20
32,66.6,13.2,1.2,498,98,0.048,0.045,57,19
29,64.4,13.8,1.3,519,98,0.055,0.046,59,25
25,63.5,13.8,1.1,512,98,0.035,0.038,67,22
30,64.8,12.9,1.1,462,106,0.027,0.041,70,14
27,67,13.1,1.1,494,100,0.036,0.038,67,5
32,63.4,13.2,1,467,102,0.016,0.038,62,17
29,66.5,13.2,1.1,483,124,0.024,0.035,57,23
40,62.6,14,1.2,508,137,0.044,0.04,56,26
39,65.6,12.9,1,450,143,0.015,0.038,61,21
41,64.4,13.5,1.1,506,138,0.027,0.039,63,23
43,61.4,14.4,1.2,519,133,0.028,0.039,64,23
34,61,14.5,1.1,511,142,0.034,0.042,60,18
34,61.2,14.7,1.2,533,134,0.049,0.041,63,24
38,61.8,14,1.1,486,142,0.03,0.039,65,13
40,62,13.1,1,469,143,0.019,0.032,62,20
33,65.4,12.8,1,472,146,0.014,0.036,58,29
35,64.6,13.3,1.1,489,148,0.023,0.039,65,26
31,62.9,13.7,1.2,508,144,0.036,0.041,66,22
29,62.6,14.2,1.2,508,126,0.04,0.04,67,39
17,60.2,14.1,1.1,494,114,0.029,0.039,60,45
14,63.5,14,1.1,531,120,0.03,0.038,56,53
8,63,13.6,1.1,485,128,0.034,0.042,54,46
9,64.2,13.8,1.2,508,129,0.034,0.04,56,48
18,62.4,14,1.2,522,126,0.033,0.041,59,55
14,63,14.4,1.3,514,139,0.048,0.04,60,53
16,60.4,15,1.2,544,130,0.05,0.041,61,58
13,61.6,14.7,1.2,531,126,0.042,0.042,60,56
20,61.3,14.3,1.2,515,122,0.044,0.045,65,51
18,63.2,14.3,1.2,511,135,0.042,0.042,63,53
18,59.7,14.6,1.2,514,136,0.033,0.042,65,52
17,64.2,12.8,1,449,132,0.015,0.04,60,47
22,65.1,12.9,0.9,493,134,0.018,0.037,66,42
30,64.1,13.4,1.1,488,121,0.021,0.038,69,38
36,62.9,14,1.1,485,115,0.031,0.041,74,41
34,61.5,13.8,1.3,491,118,0.056,0.045,64,44
28,65.5,13.2,1.1,471,127,0.034,0.04,68,37
33,63.7,13.6,1.1,486,124,0.045,0.043,62,35
31,64.2,13.5,1.1,481,120,0.037,0.042,64,31
34,63.6,13.8,1.1,501,126,0.037,0.039,64,35
32,64.4,13.3,1.1,475,128,0.041,0.042,58,36
32,64.4,13.7,1.2,494,122,0.042,0.04,59,39
34,61.5,14.5,1.2,508,115,0.038,0.039,57,35
38,62.7,13.5,1,459,106,0.017,0.038,68,33
45,61.2,13.9,1,484,97,0.032,0.041,72,32
35,65.1,12.9,0.9,453,101,0.013,0.038,85,36
32,61.9,13.9,1.1,489,104,0.034,0.039,85,44
33,61,13.7,1,464,105,0.02,0.038,94,35
36,62,13.5,1,466,93,0.038,0.042,86,38
37,63.9,13.9,1.1,486,92,0.045,0.04,91,41
35,59.7,13.7,0.9,471,96,0.023,0.038,85,42
28,65.2,12.1,0.8,431,104,0.003,0.03,82,38
30,64.7,12.9,1,484,97,0.028,0.037,84,39
30,65.2,11.9,0.8,425,96,0.003,0.024,84,29
26,66.7,13.1,1,481,107,0.048,0.037,81,40
28,61.5,13.5,0.9,466,121,0.029,0.037,81,56
22,64.1,13.1,1,451,134,0.024,0.038,75,62
32,61.1,14.1,1.1,489,140,0.054,0.039,63,58
34,61.3,13.7,1,471,139,0.031,0.036,60,49
29,62.6,13.1,0.9,454,133,0.023,0.038,60,59
32,63.6,13.2,0.9,456,137,0.019,0.035,69,57
28,60.1,14,1,479,144,0.036,0.036,60,56
26,61,14,1,485,146,0.034,0.038,58,55
31,59.4,14.2,1.1,483,137,0.044,0.04,64,60
35,61.8,13,0.9,443,140,0.025,0.036,65,57
35,61.9,13.6,1,486,140,0.065,0.043,62,65
32,60.6,13.8,1.1,478,139,0.049,0.041,69,57
32,61.4,13.3,1,458,151,0.032,0.04,61,38
37,63.1,12.5,0.8,439,141,0.013,0.034,58,34
43,61.7,13,0.9,466,126,0.034,0.036,52,35
37,61.5,13.3,1,474,133,0.042,0.037,48,31
43,59,13.6,1,473,129,0.043,0.04,45,30
36,60.7,13.3,1,459,127,0.04,0.04,45,37
40,58.7,13.9,1.1,478,122,0.07,0.043,46,27
42,56,14,0.9,468,118,0.047,0.041,48,32
41,57.6,12.9,0.8,436,112,0.021,0.032,45,30
34,58.3,13.5,1,473,108,0.052,0.039,45,31
35,56.1,13.8,1,474,107,0.049,0.04,45,28
35,56.4,12.9,0.8,449,99,0.028,0.035,36,26
34,58.1,13.3,1,467,93,0.078,0.041,40,26
32,55.3,13.3,0.8,449,106,0.033,0.039,55,25
29,55.6,13.6,1,474,118,0.064,0.04,57,32
33,54.3,13,0.9,452,113,0.035,0.037,59,33
30,59,12.3,0.9,449,115,0.049,0.039,54,30
27,54.7,12.9,0.8,446,110,0.032,0.039,48,23
27,54.3,12.5,0.7,441,107,0.021,0.037,54,34
23,60,11.7,0.7,445,110,0.02,0.03,49,31
32,57.1,11.5,0.7,433,111,0.021,0.039,48,27
29,56,12.3,0.8,467,115,0.032,0.038,45,24
28,55,11.4,0.8,433,119,0.023,0.038,49,24
33,59,10.6,0.7,428,129,0.015,0.037,50,28
33,56.5,11.8,0.7,457,100,0.031,0.036,40,31
44,50.3,11.1,0.6,423,77,0.003,0.029,18,31
34,53.4,10,0.5,416,70,0.002,0.025,15,20
41,53.5,10,0.5,416,69,0.001,0.023,10,16
39,59.7,10.2,0.7,433,45,0.022,0.037,14,15
2,61.4,10,0.7,435,22,0.012,0.03,20,10
2,60.6,9.9,0.6,430,20,0.006,0.026,19,12
1,60,10,0.6,432,27,0.005,0.025,17,13
1,59.5,9.9,0.5,428,29,0.002,0.021,9,12
2,60.1,9.5,0.5,422,22,0.001,0.015,17,15
1,60.2,9.7,0.5,425,28,0.002,0.016,15,14
1,60.4,9.7,0.5,426,31,0.002,0.018,15,10
16,60.8,9.6,0.5,426,52,0.002,0.017,21,5
29,61,9.6,0.5,427,54,0.001,0.018,19,12
27,61.4,9.5,0.5,430,57,0.001,0.02,16,2
29,62.2,9.4,0.6,432,61,0.001,0.02,15,4
34,62.2,9.4,0.7,434,67,0.002,0.027,17,3
34,62,9.3,0.7,431,60,0.002,0.026,18,3
37,62.2,9.4,0.6,433,71,0.002,0.027,17,3
31,61.7,9.5,0.7,436,65,0.004,0.028,18,7
34,60.4,9.5,0.6,432,62,0.003,0.026,16,6
35,59.6,9.4,0.5,427,65,0.002,0.022,17,9
32,59.6,9.1,0.4,423,67,0.002,0.017,15,2
6,59.8,9,0.4,424,66,0.002,0.017,3,2
1,58.6,8.9,0.4,418,63,0.001,0.013,1,2
1,59,8.8,0.4,418,62,0.001,0.012,1,1
1,58,8.9,0.3,418,45,0.002,0.014,3,1
2,57.6,8.9,0.3,416,52,0.001,0.011,2,1
2,57.7,8.9,0.3,417,46,0.001,0.011,2,2
2,57.5,8.9,0.3,417,50,0.002,0.012,1,2
2,57,9,0.3,417,51,0.001,0.014,2,2
1,56.7,9,0.3,416,49,0.001,0.011,1,2
2,56.8,9,0.3,417,68,0.001,0.011,1,5
9,56.4,9,0.3,416,71,0.002,0.011,3,17
16,56.1,9,0.3,416,77,0.001,0.011,4,14
19,55.7,9.1,0.3,416,65,0.001,0.011,9,18
17,56.8,9.3,0.4,422,80,0.002,0.016,4,12
17,58,9.4,0.4,425,76,0.002,0.019,1,14
28,58.2,9.5,0.5,434,71,0.002,0.021,10,18
29,57.8,9.5,0.5,437,69,0.01,0.031,9,24
22,57.4,9.6,0.5,435,73,0.006,0.029,2,18
18,56.8,9.6,0.5,435,68,0.005,0.031,4,17
10,56.8,9.6,0.5,431,33,0.002,0.03,4,13
17,57.5,9.6,0.5,434,23,0.011,0.036,1,10
5,57,9.6,0.5,435,22,0.03,0.039,2,6
3,56.4,9.6,0.4,434,26,0.012,0.035,1,4
2,56.6,9.5,0.4,433,23,0.009,0.035,2,3
2,55.7,9.6,0.4,432,18,0.011,0.037,1,5
4,54.5,9.6,0.3,429,20,0.008,0.033,1,7
2,54.9,9.5,0.3,428,26,0.005,0.031,1,5
2,55.4,9.6,0.4,433,27,0.016,0.039,2,2
2,56,10.4,0.5,441,31,0.03,0.041,2,12
3,49,11.5,0.4,440,29,0.035,0.041,1,7
5,53,10.7,0.4,436,30,0.04,0.042,1,4
3,49.4,12.1,0.4,445,43,0.035,0.037,2,12
1,51.8,11.2,0.4,433,30,0.01,0.032,2,21
2,49.6,11.9,0.4,446,38,0.022,0.036,4,22
3,49.9,11.7,0.4,448,47,0.04,0.039,3,23
8,49.9,11.9,0.4,445,49,0.026,0.038,2,23
6,51.8,11.6,0.5,442,55,0.025,0.038,9,29
5,49.6,12.2,0.6,450,62,0.042,0.037,18,27
12,49.3,12.2,0.6,444,75,0.028,0.037,14,37
6,50.7,12.1,0.5,449,79,0.027,0.037,19,39
15,48.4,12.4,0.5,448,89,0.022,0.035,22,28
12,49.2,12.7,0.5,452,92,0.024,0.036,28,44
8,47.7,12.1,0.4,442,102,0.016,0.037,31,43
18,51.6,12.4,0.5,452,110,0.032,0.034,33,39
26,45.1,12.5,0.5,446,119,0.017,0.023,42,41
40,49.6,12.4,0.5,449,118,0.001,0.001,42,41
44,46.8,12.7,0.5,444,123,0.01,0.018,54,47
44,47,12.6,0.5,444,137,0.02,0.036,59,48
49,48.9,12.7,0.5,446,149,0.034,0.037,60,47
53,45.6,13.4,0.6,449,151,0.031,0.037,55,49
49,47.5,12.6,0.5,445,156,0.025,0.04,61,44
51,45.2,12.6,0.5,443,157,0.017,0.037,62,50
52,47.7,13,0.5,447,155,0.018,0.033,61,54
64,43.4,13,0.5,444,167,0.017,0.035,58,52
60,47.7,13.1,0.5,448,176,0.017,0.033,55,55
61,43.7,13.3,0.5,451,182,0.027,0.04,63,40
54,44.7,13,0.6,454,191,0.041,0.042,66,27
35,45,13.3,0.7,455,198,0.037,0.037,67,26
31,46.7,13.1,0.6,451,206,0.023,0.038,62,23
37,44.8,13.1,0.6,455,206,0.028,0.04,67,27
36,45.6,13.2,0.7,455,211,0.029,0.039,58,31
34,43.3,13.3,0.6,450,220,0.026,0.039,67,31
29,43.3,13.3,0.6,450,211,0.035,0.042,60,36
35,43.9,13.9,0.6,460,212,0.037,0.041,63,32
34,42.2,14.2,0.6,466,208,0.034,0.042,62,31
20,41.4,14.1,0.7,459,204,0.041,0.042,61,29
30,43.2,14,0.7,462,192,0.039,0.042,65,26
23,42.2,14.3,0.7,464,181,0.045,0.041,64,43
23,42.1,14.4,0.7,462,174,0.05,0.043,58,50
42,41.5,14.1,0.8,461,162,0.051,0.043,63,52
41,43,13.9,0.8,463,154,0.017,0.029,59,50
37,42.7,14.1,0.8,477,138,0.001,0.001,57,51
36,42.7,14.2,0.7,476,124,0.002,0.001,61,35
36,41.7,13.9,0.7,466,113,0.001,0.001,53,33
45,44.2,13.7,0.7,462,106,0.002,0.002,60,35
44,42.3,14.4,0.8,490,104,0.002,0.001,56,36
39,42.8,14.1,0.8,465,104,0.002,0.001,53,30
48,42.3,14.4,0.9,478,98,0.001,0.001,56,33
44,42.9,14.3,0.9,468,103,0.001,0.001,54,35
47,42,14.6,0.9,490,97,0.002,0.003,51,21
44,42.9,14.6,0.9,489,101,0.059,0.041,47,22
33,42.5,14.7,1,489,104,0.009,0.007,48,16
38,42.6,14.8,1,487,103,0.001,0.002,50,23
39,41.7,15,1,498,110,0.067,0.04,50,22
39,42.3,14.9,1,493,127,0.057,0.043,58,32
39,42,14.9,1.1,484,131,0.065,0.043,61,33
35,40.7,14.8,0.9,478,133,0.049,0.042,56,29
33,42.7,14.4,1,471,137,0.052,0.045,56,32
39,42,14.6,1,480,138,0.055,0.043,60,36
33,41.9,14.8,1,482,133,0.046,0.043,60,27
32,40.8,15.1,1,489,134,0.062,0.045,64,30
33,40.5,15,1,483,141,0.047,0.043,67,33
29,41,14.7,0.9,459,134,0.008,0.016,69,25
22,40.9,14.6,0.9,454,127,0.002,0.002,55,33
19,41.2,15.1,1,496,127,0.001,0.001,52,28
21,41.6,14.9,1,478,126,0.024,0.034,45,26
21,41.1,14.9,1,479,116,0.033,0.035,43,21
22,41.4,15.2,1,480,109,0.04,0.041,42,25
19,39.5,14.9,1,469,105,0.031,0.04,45,24
17,39.2,14.1,0.9,447,107,0.015,0.037,43,19
13,41.3,14.2,0.8,456,95,0.017,0.039,41,17
19,38.6,15.1,0.9,479,100,0.018,0.036,45,25
23,39.3,15.2,0.8,463,101,0.014,0.036,40,18
24,37.5,15.3,0.9,466,106,0.016,0.039,35,28
35,37.7,15.2,0.9,459,125,0.02,0.039,37,34
44,38.5,15.3,0.9,458,135,0.02,0.042,40,35
43,37.8,15.1,0.8,456,128,0.021,0.038,43,27
33,40.3,14.7,0.8,450,127,0.019,0.039,50,29
37,38.9,15.2,0.8,470,122,0.02,0.039,48,41
38,38.2,14.9,0.9,458,123,0.03,0.04,45,35
38,40.5,14.1,0.8,432,127,0.005,0.029,45,30
44,39.5,15,0.9,482,121,0.022,0.04,47,34
42,38,15.4,0.9,479,131,0.02,0.039,44,38
38,39.1,15.4,0.9,466,133,0.02,0.039,35,29
40,37,15.3,0.9,475,124,0.017,0.037,37,31
33,38.1,14.9,0.7,443,104,0.005,0.033,37,36
24,36.8,15.1,0.9,466,78,0.024,0.035,53,38
27,38.6,14.8,0.9,462,76,0.02,0.03,60,35
28,37.5,15,0.9,452,78,0.019,0.042,62,46
31,37.7,14.9,0.8,451,71,0.008,0.034,58,41
31,38.9,15.2,0.9,482,68,0.008,0.035,53,29
26,38.7,15.4,0.9,475,70,0.014,0.035,58,30
26,37.8,15.1,0.9,463,82,0.008,0.032,54,40
28,39.5,14.7,0.8,464,80,0.003,0.03,53,34
22,38.6,15,0.8,464,80,0.009,0.035,57,39
18,39.4,15.2,1.1,490,78,0.037,0.043,57,39
22,38.2,14.7,0.8,447,80,0.006,0.032,64,43
27,39.9,14.8,1,485,96,0.043,0.042,57,36
26,37.8,15.1,1,466,104,0.045,0.044,42,36
19,38,14.9,0.9,462,101,0.002,0.02,33,35
27,39.1,14.7,1,456,107,0.023,0.04,30,34
23,39.7,14.6,0.9,444,115,0.02,0.037,34,35
21,39.3,14.7,0.9,458,114,0.024,0.038,38,42
21,40.5,14.8,1.1,474,109,0.026,0.04,32,45
23,39.4,15.1,1,476,103,0.022,0.044,30,39
19,40.3,15.1,1,472,105,0.021,0.042,36,40
27,39,15.5,0.9,482,107,0.019,0.036,37,34
32,38.6,15.2,0.9,456,105,0.019,0.043,37,40
27,39.3,15.2,1.1,472,111,0.039,0.042,32,34
24,39.8,15.1,1.1,467,100,0.027,0.038,38,31
28,39.9,15.1,0.9,467,104,0.02,0.039,41,31
37,39.8,15,0.9,464,104,0.018,0.04,49,33
28,40.7,14.7,0.9,450,95,0.011,0.038,51,27
35,42.8,14.2,0.9,442,96,0.018,0.036,43,32
29,40.9,14.9,1,475,89,0.044,0.043,44,31
34,42.7,14.8,1.1,466,96,0.027,0.039,47,26
37,40.9,15.3,1,490,94,0.027,0.044,48,27
33,41.7,15.3,1,475,89,0.024,0.045,47,29
38,40.1,15.6,1,487,88,0.021,0.042,42,30
29,40.6,15,0.9,463,90,0.011,0.036,52,32
28,43.7,14.2,0.8,441,92,0.01,0.033,46,32
30,42.9,15,1,478,107,0.018,0.037,47,30
29,41.6,15.3,1,469,112,0.018,0.04,49,18
25,42.8,14.9,0.9,452,122,0.007,0.033,43,17
22,41.2,15,1,466,137,0.009,0.036,42,17
28,43.9,14.7,0.9,462,136,0.014,0.029,50,13
34,42.2,15.4,1,492,139,0.015,0.032,49,10
33,42.5,15.3,1.1,491,143,0.033,0.039,45,17
32,43.8,14.4,0.9,437,144,0.004,0.028,49,24
34,46.3,14.3,1,462,144,0.025,0.039,47,21
27,44.4,14.3,1,464,152,0.021,0.039,45,20
34,46.4,14,0.9,454,149,0.012,0.03,41,18
35,44.8,14.7,1,478,141,0.004,0.012,44,18
34,46.2,14,0.9,430,134,0.002,0.002,44,7
28,44.9,15.2,1.1,521,141,0.001,0.001,51,15
31,44,15.3,1,488,129,0.001,0.005,58,15
36,46.4,14.5,0.9,461,126,0.018,0.036,55,22
29,44.7,15.2,1,498,123,0.039,0.039,59,19
28,44.7,15.2,1.1,493,133,0.025,0.04,57,17
26,44.9,15,1,479,119,0.027,0.041,57,15
23,45.5,14.6,0.9,463,124,0.006,0.021,54,10
27,47.5,14.6,1.1,505,124,0.025,0.039,50,11
33,44.7,15.1,1,496,123,0.019,0.037,63,12
32,46.2,14.6,1.1,466,126,0.029,0.036,56,4
23,47.2,14.7,1,489,134,0.039,0.041,58,14
28,45.4,15.1,1,493,138,0.036,0.039,58,41
45,46.1,14.4,0.8,448,131,0.008,0.033,51,53
40,48.1,14.4,0.9,476,145,0.014,0.032,45,49
38,47,14.8,1,491,137,0.018,0.034,44,43
42,48.3,14.4,1,460,131,0.017,0.039,39,46
35,46.4,15.1,1.1,499,131,0.036,0.04,38,50
41,47.2,15.1,1,491,153,0.055,0.04,43,52
46,46.8,15.5,1,506,142,0.037,0.04,49,54
39,46.3,15.4,1.1,498,146,0.026,0.037,50,58
39,47.1,15,1.1,484,138,0.032,0.037,43,57
43,48.3,15,1.2,484,140,0.033,0.036,45,58
41,48.3,15.1,1.2,492,141,0.037,0.039,50,59
41,49.3,14.8,1.1,472,147,0.032,0.043,55,55
26,47.9,15.3,1.2,514,149,0.07,0.042,69,45
31,50.1,14.7,0.9,462,141,0.021,0.036,81,57
30,50.2,14.6,1.1,469,137,0.029,0.04,83,59
26,50.5,15.1,1.2,503,155,0.073,0.044,81,58
35,48.5,15.5,1.2,511,151,0.066,0.042,83,51
29,49.4,14.6,0.9,452,134,0.022,0.039,82,51
25,49.9,14.4,1.1,471,143,0.028,0.038,83,55
32,50.9,14.6,1,475,143,0.019,0.036,84,49
27,48.4,15,1,483,141,0.02,0.036,82,51
21,49.2,14.6,1,466,141,0.019,0.035,80,51
28,52,14,0.9,448,137,0.015,0.026,79,45
28,49.2,14.5,0.9,473,113,0.024,0.037,74,24
33,51.7,13.9,0.9,438,117,0.008,0.029,62,18
29,49.4,14.8,0.9,471,121,0.023,0.035,51,11
34,49.3,15,1,477,128,0.03,0.038,55,17
34,49.5,14.6,0.9,454,118,0.018,0.036,60,19
28,50.1,14.8,1,479,121,0.032,0.038,61,26
33,48.5,15,1,483,130,0.03,0.037,57,21
32,49.1,14.9,1.1,477,128,0.044,0.04,57,17
29,51.3,14.2,0.9,444,128,0.015,0.035,55,18
27,49.7,14.8,1,483,133,0.031,0.037,57,14
31,49.1,15,1,476,135,0.027,0.037,61,23
37,49.2,14.7,1,465,134,0.023,0.036,57,19
35,50.4,14.6,1.1,474,160,0.036,0.038,58,30
32,48.1,14.9,1,478,153,0.042,0.041,65,38
33,48.7,15,1,480,148,0.04,0.033,68,42
30,50.1,14.1,1,447,151,0.001,0.001,71,38
28,49.5,15,1.1,505,147,0.001,0.002,66,35
