PM25h,HUM,TEMP,CO,CO2,PM10p,NO,NO2,PM10h,PM25p
126,39.5,12.5,1.8,627,277,0.104,0.047,187,77
121,39.1,12.4,1.9,605,279,0.108,0.047,185,111
134,38.6,12.6,1.8,609,280,0.103,0.047,184,117
150,38.5,12.4,1.8,592,265,0.1,0.05,178,109
157,39.3,12.4,1.8,603,269,0.09,0.046,172,107
148,39.3,12.4,1.8,585,269,0.091,0.046,168,94
152,40.1,12.5,1.9,598,278,0.103,0.049,165,99
150,38.6,12.7,1.9,593,266,0.102,0.047,169,107
150,38.7,12.5,1.8,563,262,0.091,0.047,160,105
144,39.7,12.5,1.8,577,245,0.092,0.046,160,110
138,37.4,12.5,1.8,562,254,0.091,0.049,160,108
142,37.7,12.3,1.8,538,250,0.083,0.05,167,112
135,37.4,12.4,1.9,561,247,0.096,0.048,163,103
131,35.6,12,1.8,514,247,0.082,0.052,165,101
114,37.3,12.3,2,545,246,0.111,0.052,163,99
102,36.2,12.6,1.8,536,239,0.093,0.051,163,98
96,34.9,12.8,1.8,537,236,0.088,0.049,166,97
97,35.2,12.7,1.9,523,237,0.09,0.048,161,106
93,33.9,12.8,1.8,524,239,0.087,0.049,157,110
90,33.5,12.7,1.7,505,235,0.083,0.049,159,103
82,33.5,13,1.8,523,233,0.08,0.048,158,101
90,32.9,12.6,1.7,499,234,0.071,0.047,152,98
92,32.7,12.6,1.6,494,237,0.06,0.049,156,99
93,33.1,12.4,1.7,492,233,0.06,0.048,152,97
92,32.8,12.8,1.6,505,235,0.056,0.047,154,104
94,30.1,12.4,1.5,472,245,0.029,0.045,150,107
93,32.4,12.5,1.6,503,249,0.047,0.048,148,106
97,30.6,12.9,1.7,496,257,0.055,0.05,140,101
99,29.5,12.8,1.6,470,241,0.028,0.051,138,102
93,29.8,12.8,1.6,494,237,0.048,0.049,137,106
92,31,13,1.7,498,238,0.037,0.047,139,94
98,28.3,13,1.6,476,240,0.027,0.049,136,95
99,29.5,12.9,1.6,481,239,0.026,0.049,130,97
96,26.9,13.1,1.6,483,241,0.026,0.048,131,101
99,28.4,12.6,1.6,468,228,0.02,0.048,128,98
89,26.7,12.9,1.6,473,229,0.021,0.047,127,101
95,27.2,12.7,1.6,476,221,0.016,0.047,119,95
98,26.5,12.9,1.5,470,230,0.015,0.051,116,79
97,26.2,13,1.6,472,224,0.013,0.049,114,82
101,26.8,12.7,1.5,463,216,0.012,0.047,121,85
97,26.9,13,1.6,477,227,0.025,0.053,121,81
107,25.6,13.2,1.5,473,237,0.023,0.049,115,80
